EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime
JOB_PROCESSED,2024-12-09T05:05:48.972750776+09:00,2024-12-09T05:05:50.655099328+09:00,1682ms,VALIDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050441415,true,2024-12-08T20:05:47.273142987
JOB_PROCESSED,2024-12-09T05:05:48.972750776+09:00,2024-12-09T05:05:55.839514137+09:00,6866ms,UPDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050441415,true,2024-12-08T20:05:50.143146742
JOB_SUCCESS,2024-12-09T05:05:48.972750776+09:00,2024-12-09T05:05:55.839664697+09:00,6866ms,UPDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050441415,true,2024-12-08T20:05:50.143146742
