EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:47:12.999446274+09:00,2024-12-09T21:47:47.657912692+09:00,34658ms,CREATE_USER_PROFILE,800a008a2083c32d4ecf9db141511072,true,2024-12-09T12:47:13.801284959,,2024-12-09T12:47:13.801284959
JOB_PROCESSED,2024-12-09T21:47:12.999446274+09:00,2024-12-09T21:48:00.265678075+09:00,47266ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db141511072,true,2024-12-09T12:47:16.310393366,,2024-12-09T12:47:16.310393366
JOB_SUCCESS,2024-12-09T21:47:12.999446274+09:00,2024-12-09T21:48:00.265972589+09:00,47266ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db141511072,true,2024-12-09T12:47:16.310393366,2024-12-09T12:47:12.219257016,2024-12-09T12:47:34.475046807
