EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T06:48:46.793714985+09:00,2024-12-10T06:50:30.734289227+09:00,101542ms,CREATE_USER_PROFILE,000202a8a209eb2de4d9163101105512,true,2024-12-09T21:48:40.78466209,,2024-12-09T21:48:40.78466209
JOB_PROCESSED,2024-12-10T06:48:46.793714985+09:00,2024-12-10T06:51:15.807743488+09:00,145821ms,CREATE_USER_PREFERENCE,000202a8a209eb2de4d9163101105512,true,2024-12-09T21:48:59.799842398,,2024-12-09T21:48:59.799842398
JOB_SUCCESS,2024-12-10T06:48:46.793714985+09:00,2024-12-10T06:51:15.808024192+09:00,145821ms,CREATE_USER_PREFERENCE,000202a8a209eb2de4d9163101105512,true,2024-12-09T21:48:59.799842398,2024-12-09T21:48:24.792934102,2024-12-09T21:49:09.392533012
