EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:47:24.359749369+09:00,2024-12-09T21:48:33.177097726+09:00,68817ms,CREATE_USER_PROFILE,800a008a2083c32d4ecf9db144111071,true,2024-12-09T12:47:23.583844128,,2024-12-09T12:47:23.583844128
JOB_PROCESSED,2024-12-09T21:47:24.359749369+09:00,2024-12-09T21:49:25.422415991+09:00,121062ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db144111071,true,2024-12-09T12:47:30.527484605,,2024-12-09T12:47:30.527484605
JOB_SUCCESS,2024-12-09T21:47:24.359749369+09:00,2024-12-09T21:49:25.422607048+09:00,121062ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db144111071,true,2024-12-09T12:47:30.527484605,2024-12-09T12:47:14.431431671,2024-12-09T12:48:02.357897143
