EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:47:47.467592285+09:00,2024-12-09T21:49:51.93120495+09:00,124463ms,CREATE_USER_PROFILE,800a008a2083c32d4ecf9db14445547d,true,2024-12-09T12:47:33.284721087,,2024-12-09T12:47:33.284721087
JOB_PROCESSED,2024-12-09T21:47:47.467592285+09:00,2024-12-09T21:50:58.278132181+09:00,190810ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db14445547d,true,2024-12-09T12:47:47.65104997,,2024-12-09T12:47:47.65104997
JOB_SUCCESS,2024-12-09T21:47:47.467592285+09:00,2024-12-09T21:50:58.278400899+09:00,190810ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db14445547d,true,2024-12-09T12:47:47.65104997,2024-12-09T12:47:16.124712599,2024-12-09T12:48:27.688807041
