EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:47:47.379627617+09:00,2024-12-09T21:49:48.857220786+09:00,121477ms,CREATE_USER_PROFILE,800a008a2083c32d4ecf9db144510515,true,2024-12-09T12:47:33.105937653,,2024-12-09T12:47:33.105937653
JOB_PROCESSED,2024-12-09T21:47:47.379627617+09:00,2024-12-09T21:50:58.271809489+09:00,190892ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db144510515,true,2024-12-09T12:47:47.497380575,,2024-12-09T12:47:47.497380575
JOB_SUCCESS,2024-12-09T21:47:47.379627617+09:00,2024-12-09T21:50:58.271962718+09:00,190892ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db144510515,true,2024-12-09T12:47:47.497380575,2024-12-09T12:47:16.456401117,2024-12-09T12:48:27.046460186
