EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:47:14.08301893+09:00,2024-12-09T21:48:02.566691277+09:00,48483ms,CREATE_USER_PROFILE,800a008a2083c32d4ecf9db141545452,true,2024-12-09T12:47:18.565025507,,2024-12-09T12:47:18.565025507
JOB_PROCESSED,2024-12-09T21:47:14.08301893+09:00,2024-12-09T21:48:23.281057804+09:00,69198ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db141545452,true,2024-12-09T12:47:21.879505359,,2024-12-09T12:47:21.879505359
JOB_SUCCESS,2024-12-09T21:47:14.08301893+09:00,2024-12-09T21:48:23.281906446+09:00,69198ms,CREATE_USER_PREFERENCE,800a008a2083c32d4ecf9db141545452,true,2024-12-09T12:47:21.879505359,2024-12-09T12:47:12.659457883,2024-12-09T12:47:43.658925083
