EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:05:04.553350564+09:00,2024-12-10T02:05:10.190846941+09:00,5637ms,VALIDATE_ORGANIZATION,a202028a80896305e6f21e0145050417,true,2024-12-09T17:05:04.323906701,,2024-12-09T17:05:04.323906701
JOB_PROCESSED,2024-12-10T02:05:04.553350564+09:00,2024-12-10T02:05:20.824520835+09:00,16271ms,VALIDATE_USER,a202028a80896305e6f21e0145050417,true,2024-12-09T17:05:06.612349424,,2024-12-09T17:05:06.612349424
JOB_PROCESSED,2024-12-10T02:05:04.553350564+09:00,2024-12-10T02:05:29.176746644+09:00,24623ms,CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,a202028a80896305e6f21e0145050417,true,2024-12-09T17:05:12.623763375,,2024-12-09T17:05:12.623763375
JOB_PROCESSED,2024-12-10T02:05:04.553350564+09:00,2024-12-10T02:05:37.473216413+09:00,32919ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,a202028a80896305e6f21e0145050417,true,2024-12-09T17:05:23.686756899,,2024-12-09T17:05:23.686756899
JOB_SUCCESS,2024-12-10T02:05:04.553350564+09:00,2024-12-10T02:05:37.473326054+09:00,32919ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,a202028a80896305e6f21e0145050417,true,2024-12-09T17:05:23.686756899,2024-12-09T17:05:04.321532033,2024-12-09T17:05:36.290365703
