EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T06:56:27.013108994+09:00,2024-12-10T06:56:54.394824651+09:00,27381ms,VALIDATE_FILE_OBJECT,000202a8a209eb2de4d916701440519c,true,2024-12-09T21:56:24.357932551,,2024-12-09T21:56:24.357932551
JOB_PROCESSED,2024-12-10T06:56:27.013108994+09:00,2024-12-10T06:57:51.815914504+09:00,83227ms,CREATE_FILE_OBJECT,000202a8a209eb2de4d916701440519c,true,2024-12-09T21:56:38.335910047,,2024-12-09T21:56:38.335910047
JOB_SUCCESS,2024-12-10T06:56:27.013108994+09:00,2024-12-10T06:57:51.816075518+09:00,83228ms,CREATE_FILE_OBJECT,000202a8a209eb2de4d916701440519c,true,2024-12-09T21:56:38.335910047,2024-12-09T21:56:24.351882568,2024-12-09T21:56:50.857323836
