EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T06:56:20.74440489+09:00,2024-12-10T06:56:22.547593049+09:00,1803ms,VALIDATE_FILE_OBJECT,000202a8a209eb2de4d9167011405142,true,2024-12-09T21:56:19.849034861,,2024-12-09T21:56:19.849034861
JOB_PROCESSED,2024-12-10T06:56:20.74440489+09:00,2024-12-10T06:57:19.285829772+09:00,56928ms,CREATE_FILE_OBJECT,000202a8a209eb2de4d9167011405142,true,2024-12-09T21:56:29.867900298,,2024-12-09T21:56:29.867900298
JOB_SUCCESS,2024-12-10T06:56:20.74440489+09:00,2024-12-10T06:57:19.286234239+09:00,56929ms,CREATE_FILE_OBJECT,000202a8a209eb2de4d9167011405142,true,2024-12-09T21:56:29.867900298,2024-12-09T21:56:19.837212959,2024-12-09T21:56:43.461579257
