EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:58:29.480249148+09:00,2024-12-09T21:58:58.71662857+09:00,29236ms,VALIDATE_FILE_OBJECT,800a008a2083c32d4ecf9df551511502,true,2024-12-09T12:58:24.215168707,,2024-12-09T12:58:24.215168707
JOB_PROCESSED,2024-12-09T21:58:29.480249148+09:00,2024-12-09T22:00:57.416855453+09:00,147936ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9df551511502,true,2024-12-09T12:58:40.871293185,,2024-12-09T12:58:40.871293185
JOB_SUCCESS,2024-12-09T21:58:29.480249148+09:00,2024-12-09T22:00:57.417210798+09:00,147936ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9df551511502,true,2024-12-09T12:58:40.871293185,2024-12-09T12:58:24.205197443,2024-12-09T12:59:36.510505446
