EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:58:21.726520556+09:00,2024-12-09T21:58:30.704201076+09:00,8977ms,VALIDATE_FILE_OBJECT,800a008a2083c32d4ecf9df550540557,true,2024-12-09T12:58:20.343185234,,2024-12-09T12:58:20.343185234
JOB_PROCESSED,2024-12-09T21:58:21.726520556+09:00,2024-12-09T21:59:24.105846158+09:00,62379ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9df550540557,true,2024-12-09T12:58:28.455618544,,2024-12-09T12:58:28.455618544
JOB_SUCCESS,2024-12-09T21:58:21.726520556+09:00,2024-12-09T21:59:24.105943428+09:00,62379ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9df550540557,true,2024-12-09T12:58:28.455618544,2024-12-09T12:58:20.336958984,2024-12-09T12:59:09.798764342
