EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:08:34.1419033+09:00,2024-12-10T02:08:35.283473723+09:00,1141ms,VALIDATE_TEAM,a202028a80896305e6f21e1054100144,true,2024-12-09T17:08:33.449583881,,2024-12-09T17:08:33.449583881
JOB_PROCESSED,2024-12-10T02:08:34.1419033+09:00,2024-12-10T02:08:49.107427459+09:00,14965ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,a202028a80896305e6f21e1054100144,true,2024-12-09T17:08:34.472010433,,2024-12-09T17:08:34.472010433
JOB_PROCESSED,2024-12-10T02:08:34.1419033+09:00,2024-12-10T02:08:50.864401584+09:00,16722ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21e1054100144,true,2024-12-09T17:08:38.255229452,,2024-12-09T17:08:38.255229452
JOB_SUCCESS,2024-12-10T02:08:34.1419033+09:00,2024-12-10T02:08:50.864529466+09:00,16722ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21e1054100144,true,2024-12-09T17:08:38.255229452,2024-12-09T17:08:33.443255192,2024-12-09T17:08:43.952690187
