EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime
JOB_PROCESSED,2024-12-09T05:06:07.720705814+09:00,2024-12-09T05:06:12.844506274+09:00,5123ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,020200aaa009eb2dc49dde2101111110,true,2024-12-08T20:06:07.325031164
JOB_PROCESSED,2024-12-09T05:06:07.720705814+09:00,2024-12-09T05:06:14.513638613+09:00,6792ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,020200aaa009eb2dc49dde2101111110,true,2024-12-08T20:06:09.135298697
JOB_SUCCESS,2024-12-09T05:06:07.720705814+09:00,2024-12-09T05:06:15.427668324+09:00,7706ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,020200aaa009eb2dc49dde2101111110,true,2024-12-08T20:06:09.135298697
