EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-20T23:47:35.317350513+09:00,2025-01-20T23:47:36.259829407+09:00,942ms,VALIDATE_FILE_OBJECT,a2022282a0816318e8928cd454505111,true,2025-01-20T14:47:35.381544548,,2025-01-20T14:47:35.381544548
JOB_PROCESSED,2025-01-20T23:47:35.317350513+09:00,2025-01-20T23:47:37.300876816+09:00,1983ms,CREATE_FILE_OBJECT,a2022282a0816318e8928cd454505111,true,2025-01-20T14:47:35.878326362,,2025-01-20T14:47:35.878326362
JOB_SUCCESS,2025-01-20T23:47:35.317350513+09:00,2025-01-20T23:47:37.321490089+09:00,2004ms,CREATE_FILE_OBJECT,a2022282a0816318e8928cd454505111,true,2025-01-20T14:47:35.878326362,2025-01-20T14:47:35.38141848,2025-01-20T14:47:37.000969378
