EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime
JOB_PROCESSED,2024-12-09T05:06:08.641820461+09:00,2024-12-09T05:06:14.502010294+09:00,5860ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,020200aaa009eb2dc49dde2101155500,true,2024-12-08T20:06:07.994685856
JOB_PROCESSED,2024-12-09T05:06:08.641820461+09:00,2024-12-09T05:06:17.423331075+09:00,8781ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,020200aaa009eb2dc49dde2101155500,true,2024-12-08T20:06:10.199527733
JOB_SUCCESS,2024-12-09T05:06:08.641820461+09:00,2024-12-09T05:06:17.95203747+09:00,9310ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,020200aaa009eb2dc49dde2101155500,true,2024-12-08T20:06:10.199527733
