Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-09T02:37:09.321575217+09:00,2024-12-09T02:37:09.552341024+09:00,230,200,0.0039980201864567525,0.0039980201864567525,0.028218460227878474,0.0025553132432728897,0.08019370991402203,0.007477016134458469,0.0058847318853999945,0.011528957597172972,0.007209309583215916,0.007447652751031073,0.004045324133139221
true,2024-12-09T02:37:14.320617322+09:00,2024-12-09T02:37:14.350418024+09:00,29,200,0.003885173236139865,0.003885173236139865,0.027424160453848243,0.0026460404718375583,0.08074296127554176,0.007032092135479667,0.0058711388159727795,0.010015430352855478,0.007000623330032802,0.007235840254550265,0.0040534868226237315
true,2024-12-09T02:37:19.32158557+09:00,2024-12-09T02:37:19.344221958+09:00,22,200,0.004329299665887315,0.004329299665887315,0.025371175815351237,0.0025028426415916473,0.08074296127554176,0.007533615274581777,0.0058711388159727795,0.009346672753385264,0.007796214572278986,0.007907416782308769,0.0040534868226237315
true,2024-12-09T02:37:24.321375427+09:00,2024-12-09T02:37:24.34410981+09:00,22,200,0.004104057027520363,0.004104057027520363,0.02383251651195145,0.002808382585903036,0.06624104734912634,0.007533615274581777,0.0058711388159727795,0.008033491849602012,0.007393366840408059,0.007905814872615836,0.0040534868226237315
true,2024-12-09T02:37:29.321359022+09:00,2024-12-09T02:37:29.358872008+09:00,37,200,0.004116822871172647,0.004116822871172647,0.023121559785214615,0.002808382585903036,0.06821167429328415,0.0069779399988592,0.005806212813517102,0.009887044368764733,0.007822011667742771,0.00788254994520251,0.0036211111111111773
true,2024-12-09T02:37:34.321946486+09:00,2024-12-09T02:37:34.352070954+09:00,30,200,0.00413066559790838,0.00413066559790838,0.02035870246192559,0.003805063185800729,0.06946780128539107,0.006768040877283582,0.005796992391037265,0.01007667132335066,0.007398328164123943,0.00788254994520251,0.004064838861814183
true,2024-12-09T02:37:39.321654255+09:00,2024-12-09T02:37:39.349789855+09:00,28,200,0.004379202362194317,0.004379202362194317,0.021052630249287836,0.003805063185800729,0.056380416471503644,0.007577952220539616,0.005796992391037265,0.010897356939690253,0.007802522679988887,0.007847852781957505,0.004064838861814183
true,2024-12-09T02:37:44.321776492+09:00,2024-12-09T02:37:44.380464089+09:00,58,200,0.00404658491255425,0.00404658491255425,0.019781503269496303,0.004142013928302005,0.05547614422238753,0.007577952220539616,0.005841726487184831,0.010897356939690251,0.007280119945522109,0.007860540803212345,0.004064838861814183
true,2024-12-09T02:37:49.320600153+09:00,2024-12-09T02:37:49.365607629+09:00,45,200,0.004154230363572421,0.004154230363572421,0.01645788379445667,0.003849733866010799,0.054588803411489945,0.007668199179057529,0.005841726487184831,0.011060628389340013,0.007781706100988111,0.007826306964488914,0.003787341963801922
true,2024-12-09T02:37:54.320773154+09:00,2024-12-09T02:37:54.341003457+09:00,20,200,0.004106484891434452,0.004106484891434452,0.01645788379445667,0.005408747473889297,0.04507192433674523,0.0076681991790575315,0.005841726487184831,0.010215021842197544,0.007322118315274086,0.007826306964488914,0.004043298829993427
true,2024-12-09T02:37:59.320938608+09:00,2024-12-09T02:37:59.341413818+09:00,20,200,0.004114044146121062,0.004114044146121062,0.016457883794456674,0.005408747473889297,0.045774828247272845,0.007666253913781769,0.005448340085864949,0.01235123673555528,0.007717487742236644,0.007772226954508059,0.004043298829993427
true,2024-12-09T02:38:04.321549268+09:00,2024-12-09T02:38:04.340494908+09:00,18,200,0.0042867984592366,0.0042867984592366,0.014360196595236486,0.005368386472841114,0.046667561027795706,0.007666253913781769,0.005812932712154337,0.01235123673555528,0.007717487742236644,0.007245373596685139,0.004048391802881773
true,2024-12-09T02:38:09.3213378+09:00,2024-12-09T02:38:09.344990385+09:00,23,200,0.0042867984592366,0.0042867984592366,0.01440488393686152,0.005207998032420487,0.045573339898353445,0.007725705484568201,0.005813524508169347,0.013184119564334771,0.007252015164462628,0.007849795792189616,0.004048391802881774
