EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:24:00.571031212+09:00,2024-12-10T02:24:04.135096354+09:00,3564ms,VALIDATE_TEAM,a202028a80896305e6f21f050011416a,true,2024-12-09T17:23:59.585302714,,2024-12-09T17:23:59.585302714
JOB_PROCESSED,2024-12-10T02:24:00.571031212+09:00,2024-12-10T02:24:52.43022033+09:00,51859ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,a202028a80896305e6f21f050011416a,true,2024-12-09T17:24:04.39505175,,2024-12-09T17:24:04.39505175
JOB_PROCESSED,2024-12-10T02:24:00.571031212+09:00,2024-12-10T02:25:34.289017972+09:00,93717ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21f050011416a,true,2024-12-09T17:24:12.460984697,,2024-12-09T17:24:12.460984697
JOB_SUCCESS,2024-12-10T02:24:00.571031212+09:00,2024-12-10T02:25:34.289240943+09:00,93718ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21f050011416a,true,2024-12-09T17:24:12.460984697,2024-12-09T17:23:59.557921137,2024-12-09T17:24:27.590840201
