EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime
JOB_PROCESSED,2024-12-09T05:05:48.964391973+09:00,2024-12-09T05:05:52.355367551+09:00,3390ms,VALIDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050455551,true,2024-12-08T20:05:47.712675181
JOB_PROCESSED,2024-12-09T05:05:48.964391973+09:00,2024-12-09T05:05:58.547880216+09:00,9583ms,UPDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050455551,true,2024-12-08T20:05:50.742715049
JOB_SUCCESS,2024-12-09T05:05:48.964391973+09:00,2024-12-09T05:05:58.548259013+09:00,9583ms,UPDATE_USER_PREFERENCE,a02202aa808b6b056417dc2050455551,true,2024-12-08T20:05:50.742715049
