EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:02:36.431209124+09:00,2024-12-10T02:02:41.325869454+09:00,4894ms,VALIDATE_FILE_OBJECT,a202028a80896305e6f21b551500055d,true,2024-12-09T17:02:36.31392284,,2024-12-09T17:02:36.31392284
JOB_PROCESSED,2024-12-10T02:02:36.431209124+09:00,2024-12-10T02:02:56.367294308+09:00,19936ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b551500055d,true,2024-12-09T17:02:40.411420069,,2024-12-09T17:02:40.411420069
JOB_SUCCESS,2024-12-10T02:02:36.431209124+09:00,2024-12-10T02:02:56.367618753+09:00,19936ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b551500055d,true,2024-12-09T17:02:40.411420069,2024-12-09T17:02:36.305310076,2024-12-09T17:02:45.690663406
