EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:33:02.626117211+09:00,2024-12-09T21:33:04.527101999+09:00,1900ms,VALIDATE_TEAM,800a008a2083c32d4ecf9ce041544149,true,2024-12-09T12:33:00.598886592,,2024-12-09T12:33:00.598886592
JOB_PROCESSED,2024-12-09T21:33:02.626117211+09:00,2024-12-09T21:33:07.254848806+09:00,4628ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,800a008a2083c32d4ecf9ce041544149,true,2024-12-09T12:33:02.057083579,,2024-12-09T12:33:02.057083579
JOB_PROCESSED,2024-12-09T21:33:02.626117211+09:00,2024-12-09T21:33:10.379303837+09:00,7753ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,800a008a2083c32d4ecf9ce041544149,true,2024-12-09T12:33:04.011090631,,2024-12-09T12:33:04.011090631
JOB_SUCCESS,2024-12-09T21:33:02.626117211+09:00,2024-12-09T21:33:10.37949474+09:00,7753ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,800a008a2083c32d4ecf9ce041544149,true,2024-12-09T12:33:04.011090631,2024-12-09T12:33:00.595076788,2024-12-09T12:33:09.092377964
