EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:34:05.621400846+09:00,2024-12-10T01:34:07.922847914+09:00,2301ms,CREATE_USER_PROFILE,a202028a80896305e6f21a111115141a,true,2024-12-09T16:34:06.635442854,,2024-12-09T16:34:06.635442854
JOB_PROCESSED,2024-12-10T01:34:05.621400846+09:00,2024-12-10T01:34:08.987802137+09:00,3366ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21a111115141a,true,2024-12-09T16:34:07.622251273,,2024-12-09T16:34:07.622251273
JOB_SUCCESS,2024-12-10T01:34:05.621400846+09:00,2024-12-10T01:34:09.00813232+09:00,3386ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21a111115141a,true,2024-12-09T16:34:07.622251273,2024-12-09T16:34:05.823185805,2024-12-09T16:34:08.628813605
