EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:03.034843075+09:00,5676ms,VALIDATE_TASK,a202028a80896305e6f21e1501110050,true,2024-12-09T17:10:57.055885359,,2024-12-09T17:10:57.055885359
JOB_PROCESSED,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:14.393144611+09:00,17034ms,VALIDATE_USER,a202028a80896305e6f21e1501110050,true,2024-12-09T17:11:00.51040104,,2024-12-09T17:11:00.51040104
JOB_PROCESSED,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:22.42989216+09:00,25071ms,VALIDATE_TEAM,a202028a80896305e6f21e1501110050,true,2024-12-09T17:11:06.103658441,,2024-12-09T17:11:06.103658441
JOB_PROCESSED,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:29.327899747+09:00,31969ms,VALIDATE_FILE_OBJECT,a202028a80896305e6f21e1501110050,true,2024-12-09T17:11:13.477268223,,2024-12-09T17:11:13.477268223
JOB_PROCESSED,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:39.688971375+09:00,42330ms,CREATE_TASK_AND_ATTACH_FILE_OBJECT,a202028a80896305e6f21e1501110050,true,2024-12-09T17:11:20.722958364,,2024-12-09T17:11:20.722958364
JOB_SUCCESS,2024-12-10T02:10:57.358622338+09:00,2024-12-10T02:11:39.689111084+09:00,42330ms,CREATE_TASK_AND_ATTACH_FILE_OBJECT,a202028a80896305e6f21e1501110050,true,2024-12-09T17:11:20.722958364,2024-12-09T17:10:57.053376042,2024-12-09T17:11:27.686023054
