EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-21T03:33:45.863648165+09:00,2025-01-21T03:33:47.18934847+09:00,1325ms,VALIDATE_TEAM,202200200209e310c298ddf155540453,true,2025-01-20T18:33:45.773978095,,2025-01-20T18:33:45.773978095
JOB_PROCESSED,2025-01-21T03:33:45.863648165+09:00,2025-01-21T03:33:48.094035516+09:00,2230ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,202200200209e310c298ddf155540453,true,2025-01-20T18:33:46.288320182,,2025-01-20T18:33:46.288320182
JOB_PROCESSED,2025-01-21T03:33:45.863648165+09:00,2025-01-21T03:33:49.279834534+09:00,3416ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,202200200209e310c298ddf155540453,true,2025-01-20T18:33:47.320447866,,2025-01-20T18:33:47.320447866
JOB_SUCCESS,2025-01-21T03:33:45.863648165+09:00,2025-01-21T03:33:49.300042838+09:00,3436ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,202200200209e310c298ddf155540453,true,2025-01-20T18:33:47.320447866,2025-01-20T18:33:45.773533208,2025-01-20T18:33:48.626421511
