EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:59:32.860725145+09:00,2024-12-10T01:59:47.012669025+09:00,14151ms,CREATE_USER_PROFILE,a202028a80896305e6f21b504110506b,true,2024-12-09T16:59:36.327544375,,2024-12-09T16:59:36.327544375
JOB_PROCESSED,2024-12-10T01:59:32.860725145+09:00,2024-12-10T01:59:54.74239504+09:00,21881ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21b504110506b,true,2024-12-09T16:59:42.429657199,,2024-12-09T16:59:42.429657199
JOB_SUCCESS,2024-12-10T01:59:32.860725145+09:00,2024-12-10T01:59:54.742508509+09:00,21881ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21b504110506b,true,2024-12-09T16:59:42.429657199,2024-12-09T16:59:29.469867389,2024-12-09T16:59:48.118800557
