EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:59:28.034219831+09:00,2024-12-10T01:59:36.863365928+09:00,8829ms,CREATE_USER_PROFILE,a202028a80896305e6f21b504100403b,true,2024-12-09T16:59:31.36384907,,2024-12-09T16:59:31.36384907
JOB_PROCESSED,2024-12-10T01:59:28.034219831+09:00,2024-12-10T01:59:41.140757574+09:00,13106ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21b504100403b,true,2024-12-09T16:59:32.905660358,,2024-12-09T16:59:32.905660358
JOB_SUCCESS,2024-12-10T01:59:28.034219831+09:00,2024-12-10T01:59:41.140848978+09:00,13106ms,CREATE_USER_PREFERENCE,a202028a80896305e6f21b504100403b,true,2024-12-09T16:59:32.905660358,2024-12-09T16:59:27.893036428,2024-12-09T16:59:36.245460852
