EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:19:49.258895747+09:00,2024-12-10T01:19:50.267994574+09:00,1009ms,VALIDATE_TEAM,a202028a80896305e6f20f4010105400,true,2024-12-09T16:19:49.116457329,,2024-12-09T16:19:49.116457329
JOB_PROCESSED,2024-12-10T01:19:49.258895747+09:00,2024-12-10T01:19:51.121570778+09:00,1862ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,a202028a80896305e6f20f4010105400,true,2024-12-09T16:19:49.779685544,,2024-12-09T16:19:49.779685544
JOB_PROCESSED,2024-12-10T01:19:49.258895747+09:00,2024-12-10T01:19:52.280302512+09:00,3021ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f20f4010105400,true,2024-12-09T16:19:50.776459445,,2024-12-09T16:19:50.776459445
JOB_SUCCESS,2024-12-10T01:19:49.258895747+09:00,2024-12-10T01:19:52.280913737+09:00,3022ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f20f4010105400,true,2024-12-09T16:19:50.776459445,2024-12-09T16:19:49.10151356,2024-12-09T16:19:51.788060794
