EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:50:52.076738807+09:00,2024-12-10T01:50:55.344156315+09:00,3267ms,VALIDATE_TEAM,a202028a80896305e6f21b1045004445,true,2024-12-09T16:50:51.761569405,,2024-12-09T16:50:51.761569405
JOB_PROCESSED,2024-12-10T01:50:52.076738807+09:00,2024-12-10T01:51:02.102326894+09:00,10025ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,a202028a80896305e6f21b1045004445,true,2024-12-09T16:50:54.356641184,,2024-12-09T16:50:54.356641184
JOB_PROCESSED,2024-12-10T01:50:52.076738807+09:00,2024-12-10T01:51:10.736860026+09:00,18660ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21b1045004445,true,2024-12-09T16:51:00.640780156,,2024-12-09T16:51:00.640780156
JOB_SUCCESS,2024-12-10T01:50:52.076738807+09:00,2024-12-10T01:51:10.73694531+09:00,18660ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,a202028a80896305e6f21b1045004445,true,2024-12-09T16:51:00.640780156,2024-12-09T16:50:51.72800013,2024-12-09T16:51:09.759827852
