EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T02:32:58.240499668+09:00,2024-12-10T02:33:08.331674858+09:00,10091ms,VALIDATE_ORGANIZATION,a202028a80896305e6f21f4505544001,true,2024-12-09T17:32:58.378339675,,2024-12-09T17:32:58.378339675
JOB_PROCESSED,2024-12-10T02:32:58.240499668+09:00,2024-12-10T02:33:35.686833124+09:00,37446ms,VALIDATE_USER,a202028a80896305e6f21f4505544001,true,2024-12-09T17:33:00.357109602,,2024-12-09T17:33:00.357109602
JOB_PROCESSED,2024-12-10T02:32:58.240499668+09:00,2024-12-10T02:33:56.390620806+09:00,58150ms,CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,a202028a80896305e6f21f4505544001,true,2024-12-09T17:33:10.716255163,,2024-12-09T17:33:10.716255163
JOB_PROCESSED,2024-12-10T02:32:58.240499668+09:00,2024-12-10T02:34:47.534429371+09:00,109293ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,a202028a80896305e6f21f4505544001,true,2024-12-09T17:33:31.994956316,,2024-12-09T17:33:31.994956316
JOB_SUCCESS,2024-12-10T02:32:58.240499668+09:00,2024-12-10T02:34:47.534526035+09:00,109294ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,a202028a80896305e6f21f4505544001,true,2024-12-09T17:33:31.994956316,2024-12-09T17:32:58.376086118,2024-12-09T17:33:59.440289824
