EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:36:37.798084316+09:00,2024-12-09T21:36:39.382567095+09:00,1584ms,VALIDATE_FILE_OBJECT,800a008a2083c32d4ecf9ce554541145,true,2024-12-09T12:36:37.617995186,,2024-12-09T12:36:37.617995186
JOB_PROCESSED,2024-12-09T21:36:37.798084316+09:00,2024-12-09T21:36:43.613008384+09:00,5814ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9ce554541145,true,2024-12-09T12:36:38.223385546,,2024-12-09T12:36:38.223385546
JOB_SUCCESS,2024-12-09T21:36:37.798084316+09:00,2024-12-09T21:36:43.61352078+09:00,5815ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9ce554541145,true,2024-12-09T12:36:38.223385546,2024-12-09T12:36:37.611422966,2024-12-09T12:36:42.224673027
