EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:36:38.506935176+09:00,2024-12-09T21:36:40.623366638+09:00,2116ms,VALIDATE_FILE_OBJECT,800a008a2083c32d4ecf9ce55455054e,true,2024-12-09T12:36:37.858550904,,2024-12-09T12:36:37.858550904
JOB_PROCESSED,2024-12-09T21:36:38.506935176+09:00,2024-12-09T21:36:44.4707013+09:00,5963ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9ce55455054e,true,2024-12-09T12:36:39.249287787,,2024-12-09T12:36:39.249287787
JOB_SUCCESS,2024-12-09T21:36:38.506935176+09:00,2024-12-09T21:36:44.470805052+09:00,5963ms,CREATE_FILE_OBJECT,800a008a2083c32d4ecf9ce55455054e,true,2024-12-09T12:36:39.249287787,2024-12-09T12:36:37.852391037,2024-12-09T12:36:43.659939573
