EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2025-01-21T03:54:13.271523406+09:00,2025-01-21T03:54:14.623653631+09:00,1352ms,VALIDATE_TEAM,222a22a80289e938c093898045410044,true,2025-01-20T18:54:13.259281781,,2025-01-20T18:54:13.259281781
JOB_PROCESSED,2025-01-21T03:54:13.271523406+09:00,2025-01-21T03:54:15.610473187+09:00,2338ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,222a22a80289e938c093898045410044,true,2025-01-20T18:54:14.003413902,,2025-01-20T18:54:14.003413902
JOB_PROCESSED,2025-01-21T03:54:13.271523406+09:00,2025-01-21T03:54:16.621667667+09:00,3350ms,CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,222a22a80289e938c093898045410044,true,2025-01-20T18:54:15.003762273,,2025-01-20T18:54:15.003762273
JOB_SUCCESS,2025-01-21T03:54:13.271523406+09:00,2025-01-21T03:54:16.622266932+09:00,3350ms,VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,222a22a80289e938c093898045410044,true,2025-01-20T18:54:14.003413902,2025-01-20T18:54:13.258635984,2025-01-20T18:54:16.040060448
