EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:55:23.368340593+09:00,2024-12-10T01:55:25.861070576+09:00,2492ms,VALIDATE_FILE_OBJECT,a202028a80896305e6f21b4051045511,true,2024-12-09T16:55:22.830770468,,2024-12-09T16:55:22.830770468
JOB_PROCESSED,2024-12-10T01:55:23.368340593+09:00,2024-12-10T01:55:34.239288752+09:00,10870ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b4051045511,true,2024-12-09T16:55:25.448060902,,2024-12-09T16:55:25.448060902
JOB_SUCCESS,2024-12-10T01:55:23.368340593+09:00,2024-12-10T01:55:34.239378921+09:00,10871ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b4051045511,true,2024-12-09T16:55:25.448060902,2024-12-09T16:55:22.818918934,2024-12-09T16:55:28.135634746
