EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-10T01:55:25.86169802+09:00,2024-12-10T01:55:30.436449323+09:00,4574ms,VALIDATE_FILE_OBJECT,a202028a80896305e6f21b40510544b5,true,2024-12-09T16:55:23.325207304,,2024-12-09T16:55:23.325207304
JOB_PROCESSED,2024-12-10T01:55:25.86169802+09:00,2024-12-10T01:55:37.888573149+09:00,12026ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b40510544b5,true,2024-12-09T16:55:27.949511476,,2024-12-09T16:55:27.949511476
JOB_SUCCESS,2024-12-10T01:55:25.86169802+09:00,2024-12-10T01:55:37.888640264+09:00,12026ms,CREATE_FILE_OBJECT,a202028a80896305e6f21b40510544b5,true,2024-12-09T16:55:27.949511476,2024-12-09T16:55:23.221388818,2024-12-09T16:55:31.608477681
