EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T19:29:17.94977099+09:00,2024-12-09T19:29:18.678909778+09:00,729ms,VALIDATE_FILE_OBJECT,800a008a2083c32d4eceddb51155407b,true,2024-12-09T10:29:18.915134726,,2024-12-09T10:29:18.915134726
JOB_PROCESSED,2024-12-09T19:29:17.94977099+09:00,2024-12-09T19:29:22.196181664+09:00,4246ms,CREATE_FILE_OBJECT,800a008a2083c32d4eceddb51155407b,true,2024-12-09T10:29:19.875447549,,2024-12-09T10:29:19.875447549
JOB_SUCCESS,2024-12-09T19:29:17.94977099+09:00,2024-12-09T19:29:22.196252933+09:00,4246ms,CREATE_FILE_OBJECT,800a008a2083c32d4eceddb51155407b,true,2024-12-09T10:29:19.875447549,2024-12-09T10:29:18.910830903,2024-12-09T10:29:23.851045787
