EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:32:36.858522987+09:00,2024-12-09T21:32:40.069819372+09:00,3211ms,VALIDATE_ORGANIZATION,800a008a2083c32d4ecf9ce010010105,true,2024-12-09T12:32:36.63831727,,2024-12-09T12:32:36.63831727
JOB_PROCESSED,2024-12-09T21:32:36.858522987+09:00,2024-12-09T21:32:42.723767523+09:00,5865ms,VALIDATE_USER,800a008a2083c32d4ecf9ce010010105,true,2024-12-09T12:32:37.819473308,,2024-12-09T12:32:37.819473308
JOB_PROCESSED,2024-12-09T21:32:36.858522987+09:00,2024-12-09T21:32:45.105201607+09:00,8246ms,CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,800a008a2083c32d4ecf9ce010010105,true,2024-12-09T12:32:40.256798713,,2024-12-09T12:32:40.256798713
JOB_PROCESSED,2024-12-09T21:32:36.858522987+09:00,2024-12-09T21:32:47.866298841+09:00,11007ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,800a008a2083c32d4ecf9ce010010105,true,2024-12-09T12:32:42.26128055,,2024-12-09T12:32:42.26128055
JOB_SUCCESS,2024-12-09T21:32:36.858522987+09:00,2024-12-09T21:32:47.866522395+09:00,11008ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,800a008a2083c32d4ecf9ce010010105,true,2024-12-09T12:32:42.26128055,2024-12-09T12:32:36.635807893,2024-12-09T12:32:47.280992623
