EventType,StartTime,ReceivedDatetime,TotalTime,LastActionCode,JobId,LastActionSuccess,LastActionDatetime,ProcessStartDatetime,ActionDatetime
JOB_PROCESSED,2024-12-09T21:33:38.39967758+09:00,2024-12-09T21:33:41.828831246+09:00,3429ms,VALIDATE_ORGANIZATION,800a008a2083c32d4ecf9ce105004056,true,2024-12-09T12:33:37.954628164,,2024-12-09T12:33:37.954628164
JOB_PROCESSED,2024-12-09T21:33:38.39967758+09:00,2024-12-09T21:33:44.364426119+09:00,5964ms,VALIDATE_USER,800a008a2083c32d4ecf9ce105004056,true,2024-12-09T12:33:39.644214124,,2024-12-09T12:33:39.644214124
JOB_PROCESSED,2024-12-09T21:33:38.39967758+09:00,2024-12-09T21:33:46.309974939+09:00,7910ms,CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,800a008a2083c32d4ecf9ce105004056,true,2024-12-09T12:33:41.636819576,,2024-12-09T12:33:41.636819576
JOB_PROCESSED,2024-12-09T21:33:38.39967758+09:00,2024-12-09T21:33:50.391041195+09:00,11991ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,800a008a2083c32d4ecf9ce105004056,true,2024-12-09T12:33:43.421917807,,2024-12-09T12:33:43.421917807
JOB_SUCCESS,2024-12-09T21:33:38.39967758+09:00,2024-12-09T21:33:50.391175329+09:00,11991ms,CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,800a008a2083c32d4ecf9ce105004056,true,2024-12-09T12:33:43.421917807,2024-12-09T12:33:37.947952439,2024-12-09T12:33:49.389463516
